,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnomergnan,Tom Wolters,,6 Artificer/10 Expert,Updated on turn:,26,Description: ,Gnomish Technocracy - NG,,,Current Turn,40,Winter,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stat,Rating,+/-,Notes,Advisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Politics,4,,4 Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,2,,Population: ,,,Society & Espionage Questions,,,,Orders to Vassals,,,,,,,,,,,,,,,,,,,,,,,,,,
Military,4,(+2),,,,(See Player sheet),,,,Nation,Order,,,,,,,,,,,,,,,,,,,,,,,,,
Economics,3,,,,,,,,,,See Player sheet for orders,,,,,,,,,,,,,,,,,,,,,,,,,
Society ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espionage,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane,3,,,"Divination 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Religion,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology,5,(+2),,Artificer of war machines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Previous Total moved here to make room for calculated total below,,,,
Air Force,4,,,single combat specialty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Progress,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,
Base Income,3,,,,,"Diminutive People, Giant War Machines: Raise Your Military to 5, Economy to 3, and gain a minimum of twenty hexes under your direct control in addition to your starting area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade,19,,,,Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maintenance,-4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towns,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cities,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Committed Resources,,,,,,,,,,,,,,,,,,,,,,,,
Sentient Creatures,,,,,,,,,,,,,,,Projects,,,,,,,,,,,,,,,Unfinished Only,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Name,Effect,Cost (g),Resource(s),(O)ngoing (U)nfinished (S)uspended,Initial Result,Progress Per Turn,Total Needed,Total Progress,Turn Started,Progress Meter (Calculated),Progress Bar (Calculated)
,,,Name,Type,Tier,Natively Produced,Trade,Committed,Not Used,Total,Name,Espionage,Maintenance,Military,Project A,Project B,Project C,Project D,Project E,Project F,Project G,Project H,,Project A,,,,,,,,,0,,0/,#VALUE!
,,,Adamant,Strat,3,1,,,,1,Adamant,,,,,,,,,,,,,Project B,,,,,,,,,0,,0/,#VALUE!
,,,Baubles,Lux,2,,,,,0,Baubles,,,,,,,,,,,,,Project C,,,,,,-,-,,#VALUE!,,#VALUE!,#VALUE!
,,,Beer,Lux,1,,,,,0,Beer,,,,,,,,,,,,,Project D,,,,,,,,,0,,0/,#VALUE!
,,,Bloodstone,Strat,2,,,,,0,Bloodstone,,,,,,,,,,,,,Project E,,,,,,,,,0,,0/,#VALUE!
,,,Brass,Lux/Strat,2,2,-2,,,0,Brass,,,,,,,,,,,,,Project F,,,,,,,,,0,,0/,#VALUE!
,,,Bronze,Lux/Strat,2,,,,,0,Bronze,,,,,,,,,,,,,Project G,,,,,,,,,0,,0/,#VALUE!
,,,Cheese,Food,1,,,,,0,Cheese,,,,,,,,,,,,,Project H,,,,,,,,,0,,0/,#VALUE!
,,,Cinnabar,Lux,2,1,-1,,,0,Cinnabar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coal,Lux,2,,1,,,1,Coal,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cocoa,Lux,2,,,,,0,Cocoa,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coffee,Lux,2,,,,,0,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cold Iron,Strat,2,,,,,0,Cold Iron,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Copper,Lux/Strat,1,2,,-1,,1,Copper,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coral,Lux,1,,,,,0,Coral,,,,,,,,,,,,,,,Total,0,,,,,,,,,
,,,Crops,Food,1,4,-2,-2,,0,Crops,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cursed Stone,Strat,2,,,,,0,Cursed Stone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cursed Wood,Strat,2,,,,,0,Cursed Wood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Darkwood,Strat,2,,,,,0,Darkwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Deathstone,Lux,3,,1,,,1,Deathstone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Diamonds,Lux,3,,0,,,0,Diamonds,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dire Crops,Food,2,,1,,,1,Dire Crops,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dyes,Lux,2,,,,,0,Dyes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Eternium,Lux/Strat,3,,,,,0,Eternium,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Faerzess,Lux/Strat,3,,,,,0,Faerzess,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fine Clothes,Lux,2,,,,,0,Fine Clothes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fruit,Food,1,,,,,0,Fruit,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fur,Lux,1,,,,,0,Fur,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Game (Hunting),Food,1,,,,,0,Game (Hunting),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gems,Lux,2,,,,,0,Gems,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Glass,Lux,2,1,,,,1,Glass,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gold,Lux,3,,,,,0,Gold,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Greenwood,Strat,1,,,,,0,Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gunpowder,Strat,3,1,-1,,,0,Gunpowder,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hardwood,Strat,1,,,,,0,Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Healing Potions,Strat,2,,,,,0,Healing Potions,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Herbs,Lux,1,,,,,0,Herbs,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Holystone,Lux,3,,,,,0,Holystone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Honey,Food,2,,,,,0,Honey,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Iced Cream,Food/Lux,2,,,,,0,Iced Cream,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Incense,Lux,1,,,,,0,Incense,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Iron,Strat,1,1,,,-1,0,Iron,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ironwood,Strat,2,,1,,,1,Ironwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ivory,Lux,2,,,,,0,Ivory,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jewelry,Lux,3,,,,,0,Jewelry,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lead,Lux,1,,,,,0,Lead,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Linite,Lux,2,,1,,,1,Linite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Livestock,Food,1,2,1,,,3,Livestock,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lumber,None,0,,,,,0,Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marble,Lux,1,,1,,,1,Marble,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Medicine,Lux,2,1,-1,,,0,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mithral,Lux/Strat,3,,,,,0,Mithral,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Narcotics,Lux,2,,,,,0,Narcotics,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Olives,Food,1,,,,,0,Olives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Onyx,Strat,2,,,,,0,Onyx,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Oricalculum,Lux/Strat,3,1,,,,1,Oricalculum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Paper,Lux,2,,,,,0,Paper,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Parchment,Lux,1,,,,,0,Parchment,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Pearl,Lux ,2,,,,,0,Pearl,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Peat,Lux,1,,,,,0,Peat,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Phlogiston
(Helium)",Strat,3,1,,,,1,"Phlogiston
(Helium)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,Poison,Strat,2,,,,,0,Poison,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Porcelain,Lux,2,,,,,0,Porcelain,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Residuum,Lux,2,,,,,0,Residuum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riding Animals (Advanced),Strat/Food,2,,,,,0,Riding Animals (Advanced),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riding Animals (Basic),Strat/Food,1,,,,,0,Riding Animals (Basic),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Salt,Lux,2,,,,,0,Salt,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Scrolls,Strat,2,,,,,0,Scrolls,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Seafood,Food,1,2,1,,,3,Seafood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Silk,Lux,2,,,,,0,Silk,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Silver,Lux,2,1,,,,1,Silver,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Slaves,Lux/Strat,1,,,,,0,Slaves,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spices,Lux,2,,,,,0,Spices,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spirits,Lux,2,,,,,0,Spirits,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Starwood,Strat,3,,,,,0,Starwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Steel,Strat,2,,,,,0,Steel,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stone,None,0,2,,,-1,1,Stone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sugar,Lux,2,,,,,0,Sugar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Textiles,Lux,1,,,,,0,Textiles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tin,Strat,1,1,,-1,,0,Tin,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tobacco,Lux,1,,,,,0,Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Truffles,Lux,3,,,,,0,Truffles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Waterwood,Lux/Strat,2,,,,,0,Waterwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wax,Lux,1,,,,,0,Wax,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Whales,Lux/Food,3,,,,,0,Whales,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Whipwood,Strat,1,,,,,0,Whipwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wine,Lux,2,,,,,0,Wine,,,,,,,,,,,,,,,,,,,,,,,,,
,,,World Tree,Food/Lux/Strat,2,,,,,0,World Tree,,,,,,,,,,,,,,,,,,,,,,,,,
