,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Primean Empire,steve tooze,,12 Aristocrat/8 Fighter,Updated on turn:,26,Description: ,LN - Balkanized Empire,,,Current Turn,40,Winter,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stat,Rating,+/-,Notes,Advisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Politics,5,,5 Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,5,,Population: ,,,Society & Espionage Questions,,,,Orders to Vassals,,,,,,,,,,,,,,,,,,,,,,,,,,
Military,5,,,,,(See Player sheet),,,,Nation,Order,,,,,,,,,,,,,,,,,,,,,,,,,
Economics,4,(+1),,Agriculture,,,,,,,See Player sheet for orders,,,,,,,,,,,,,,,,,,,,,,,,,
Society ,4,(+3),,Nationalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espionage,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Religion,3,(+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army ,5,,,Siege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navy,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Previous Total moved here to make room for calculated total below,,,,
Air Force,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Progress,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,
Base Income,4,,,,,"Many Peoples, One Voice: Have an average of 4 in all of your stats.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade,40,,,,Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maintenance,-10,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towns,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cities,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Committed Resources,,,,,,,,,,,,,,,,,,,,,,,,
Sentient Creatures,bronze dragon friendly,,,,,,,,,,,,,,Projects,,,,,,,,,,,,,,,Unfinished Only,,,,,,
,,,,,,,,,,,,,,,,Society project,,,,purify the Empire,,,,,Name,Effect,Cost (g),Resource(s),(O)ngoing (U)nfinished (S)uspended,Initial Result,Progress Per Turn,Total Needed,Total Progress,Turn Started,Progress Meter (Calculated),Progress Bar (Calculated)
,,,Name,Type,Tier,Natively Produced,Trade,Committed,Not Used,Total,Name,Espionage,Maintenance,Military,Project A,Project B,Project C,Project D,Project E,Project F,Project G,Project H,,Project A,,,,,,,,,0,,0/,#VALUE!
,,,Adamant,Strat,3,,,,,0,Adamant,,,,,,,,,,,,,Project B,Society project,content people,1,"1 crop, 1 salt",o,15,8,-,119,27,119/-,#VALUE!
,,,Baubles,Lux,2,,,,,0,Baubles,,,,,,,,,,,,,Project C,,,,,,,,,0,,0/,#VALUE!
,,,Beer,Lux,1,2,-1,,,1,Beer,,,,,,,,,,,,,Project D,,,,,,,,,,,/,#VALUE!
,,,Bloodstone,Strat,2,,,,,0,Bloodstone,,,,,,,,,,,,,Project E,,,,,,,,,0,,0/,#VALUE!
,,,Brass,Lux/Strat,2,,,,,0,Brass,,,,,,,,,,,,,Project F,purify the Empire,resist corruption,4," holystone, residium, purification, lead, game",O,20,15,-,,33,/-,#VALUE!
,,,Bronze,Lux/Strat,2,,,,,0,Bronze,,,,,,,,,,,,,Project G,,,,,,,,,0,,0/,#VALUE!
,,,Cheese,Food,1,,,,,0,Cheese,,,,,,,,,,,,,Project H,,,,,,,,,0,,0/,#VALUE!
,,,Cinnabar,Lux,2,1,,,,1,Cinnabar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coal,Lux,2,,,,,0,Coal,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cocoa,Lux,2,1,,,,1,Cocoa,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coffee,Lux,2,1,,,,1,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cold Iron,Strat,2,,,,,0,Cold Iron,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Copper,Lux/Strat,1,3,-1,,,2,Copper,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coral,Lux,1,,,,,0,Coral,,,,,,,,,,,,,,,Total,5,,,,,,,,,
,,,Crops,Food,1,18,-2,-6,,10,Crops,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cursed Stone,Strat,2,,,,,0,Cursed Stone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cursed Wood,Strat,2,,,,,0,Cursed Wood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Darkwood,Strat,2,1,-1,,,0,Darkwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Deathstone,Lux,3,,,,,0,Deathstone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Diamonds,Lux,3,,,,,0,Diamonds,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dire Crops,Food,2,,,,,0,Dire Crops,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dyes,Lux,2,1,,,,1,Dyes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Eternium,Lux/Strat,3,,,,,0,Eternium,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Faerzess,Lux/Strat,3,,,,,0,Faerzess,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fine Clothes,Lux,2,2,-1,,,1,Fine Clothes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fruit,Food,1,,2,,,2,Fruit,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fur,Lux,1,,1,,,1,Fur,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Game (Hunting),Food,1,7,-2,-3,"
",2,Game (Hunting),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gems,Lux,2,1,-1,,,0,Gems,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Glass,Lux,2,,,,,0,Glass,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gold,Lux,3,1,,,,1,Gold,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Greenwood,Strat,1,,,,,0,Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gunpowder,Strat,3,,,,,0,Gunpowder,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hardwood,Strat,1,2,,-2,,0,Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Healing Potions,Strat,2,,,,,0,Healing Potions,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Herbs,Lux,1,1,1,,,2,Herbs,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Holystone,Lux,3,2,,-1,,1,Holystone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Honey,Food,2,1,,,,1,Honey,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Iced Cream,Food/Lux,2,,,,,0,Iced Cream,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Incense,Lux,1,2,,,,2,Incense,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Iron,Strat,1,5,,-4,,1,Iron,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ironwood,Strat,2,3,-2,,,1,Ironwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ivory,Lux,2,1,,,,1,Ivory,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jewelry,Lux,3,1,,,,1,Jewelry,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lead,Lux,1,2,-1,-1,,0,Lead,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Linite,Lux,2,1,,,,1,Linite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Livestock,Food,1,6,1,-1,,6,Livestock,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lumber,None,0,6,,-1,,4,Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marble,Lux,1,2,-1,,,1,Marble,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Medicine,Lux,2,,,,,0,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mithral,Lux/Strat,3,,,,,0,Mithral,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Narcotics,Lux,2,,,,,0,Narcotics,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Olives,Food,1,,,,,0,Olives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Onyx,Strat,2,,,,,0,Onyx,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Oricalculum,Lux/Strat,3,1,,,,1,Oricalculum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Paper,Lux,2,,,,,0,Paper,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Parchment,Lux,1,,,,,0,Parchment,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Pearl,Lux ,2,,,,,0,Pearl,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Peat,Lux,1,,,,,0,Peat,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Phlogiston
(Helium)",Strat,3,,,,,0,"Phlogiston
(Helium)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,Poison,Strat,2,,,,,0,Poison,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Porcelain,Lux,2,,1,,,1,Porcelain,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Residuum,Lux,2,,1,-1,,0,Residuum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riding Animals (Advanced),Strat/Food,2,,,,,0,Riding Animals (Advanced),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riding Animals (Basic),Strat/Food,1,6,0,-3,,3,Riding Animals (Basic),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Salt,Lux,2,1,,-1,,0,Salt,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Scrolls,Strat,2,2,,,,2,Scrolls,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Seafood,Food,1,5,2,-2,,5,Seafood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Silk,Lux,2,,,,,0,Silk,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Silver,Lux,2,1,1,-1,,1,Silver,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Slaves,Lux/Strat,1,,1,,,1,Slaves,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spices,Lux,2,1,,,,1,Spices,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spirits,Lux,2,,,,,0,Spirits,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Starwood,Strat,3,,0,,,0,Starwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Steel,Strat,2,3,1,-1,,3,Steel,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stone,None,0,3,,-1,,2,Stone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sugar,Lux,2,1,,,,1,Sugar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Textiles,Lux,1,4,,-4,,0,Textiles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tin,Strat,1,,,,,0,Tin,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tobacco,Lux,1,,,,,0,Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Truffles,Lux,3,,,,,0,Truffles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Waterwood,Lux/Strat,2,1,,,,1,Waterwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wax,Lux,1,,,,,0,Wax,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Whales,Lux/Food,3,1,,,,1,Whales,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Whipwood,Strat,1,,,-2,,-2,Whipwood,,,,,,,,,,,,,,,,,,,,,,,,,
