,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karanex,Elise,,(9 Swashbuckler/9 Fighter,Updated on turn:,34,Description: ,Pirate Kingdom (Kleptocracy) - CE,,,Current Turn,40,Winter,,,,,,,,,,,,,,,,,,,,,,,,
,Gary,,"(4 rogue, 3 fighter, 7 duelist)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stat,Rating,+/-,Notes,Advisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Politics,4,,4 Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,1,,Population: ,,,Society & Espionage Questions,,,,Orders to Vassals,,,,,,,,,,,,,,,,,,,,,,,,,,
Military,5,(+2),,,,(See Player sheet),,,,Nation,Order,,,,,,,,,,,,,,,,,,,,,,,,,
Economics,3,(+2),,trade,,,,,,Red Pirate ,See Player sheet for orders,,,,,,,,,,,,,,,,,,,,,,,,,
Society ,3,(+3),1 crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espionage,3,(+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Religion,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology,3,,,R & D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navy,5,,,piracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Previous Total moved here to make room for calculated total below,,,,
Air Force,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Progress,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Income,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade,4,,,,Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,
Maintenance,-2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towns,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cities,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Committed Resources,,,,,,,,,,,,,,,,,,,,,,,,
Sentient Creatures,Wyverns Friendly,,,,,,,,,,,,,,Projects,,,,,,,,,,,,,,,Unfinished Only,,,,,,
,,,,,,,,,,,,,,,Fortress Line,Raise Society,ECP Society Project,,,,,,,,Name,Effect,Cost (g),Resource(s),(O)ngoing (U)nfinished (S)uspended,Initial Result,Progress Per Turn,Total Needed,Total Progress,Turn Started,Progress Meter (Calculated),Progress Bar (Calculated)
,,,Name,Type,Tier,Natively Produced,Trade,Committed,Not Used,Total,Name,Espionage,Maintenance,Military,Project A,Project B,Project C,Project D,Project E,Project F,Project G,Project H,,Project A,Fortress Line,forts,10,"1 Eternium, 1 Stone, 1 Seafood",U,16,12,55,52,37,52/55,
,,,Adamant,Strat,3,,,,,0,Adamant,,,,,,,,,,,,,Project B,Raise Society,No more Pirates,1,1 Gems,U,15,14,50,57,37,57/50,
,,,Baubles,Lux,2,,,,,0,Baubles,,,,,,,,,,,,,Project C,ECP Society Project,Universal Healthcare,1,"1 Medicine, 1 Seafood",O,,,,0,26,0/,#VALUE!
,,,Beer,Lux,1,,,,,0,Beer,,,,,,,,,,,,,Project D,,,,,,,,,0,,0/,#VALUE!
,,,Bloodstone,Strat,2,,,,,0,Bloodstone,,,,,,,,,,,,,Project E,,,,,,,,,0,,0/,#VALUE!
