,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycaeum,Ben Walker,,19 Wizard,Updated on turn:,28,Description: ,Magocracy - N,,,Current Turn,40,Winter,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stat,Rating,+/-,Notes,Advisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Politics,3,(+2),4 Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,1,,Population: ,,,Society & Espionage Questions,,,,Orders to Vassals,,,,,,,,,,,,,,,,,,,,,,,,,,
Military,2,,,,,(See Player sheet),,,,Nation,Order,,,,,,,,,,,,,,,,,,,,,,,,,
Economics,4,,,,,,,,,,See Player sheet for orders,,,,,,,,,,,,,,,,,,,,,,,,,
Society ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espionage,3,(+3),,Divination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Religion,3,(+1),,resurrection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology,4,(+4),,R & D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Previous Total moved here to make room for calculated total below,,,,
Air Force,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Progress,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,
Base Income,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
Trade,7,,,,Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maintenance,-2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towns,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cities,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Committed Resources,,,,,,,,,,,,,,,,,,,,,,,,
Sentient Creatures,,,,,,,,,,,,,,,Projects,,,,,,,,,,,,,,,Unfinished Only,,,,,,
,,,,,,,,,,,,,,,Rods from god,upgrade socity,,,,,,,,,Name,Effect,Cost (g),Resource(s),(O)ngoing (U)nfinished (S)uspended,Initial Result,Progress Per Turn,Total Needed,Total Progress,Turn Started,Progress Meter (Calculated),Progress Bar (Calculated)
,,,Name,Type,Tier,Natively Produced,Trade,Committed,Not Used,Total,Name,Espionage,Maintenance,Military,Project A,Project B,Project C,Project D,Project E,Project F,Project G,Project H,,Project A,Rods from god,-,1,1 scroll,U,12,11,20,34,38,34/20,
,,,Adamant,Strat,3,,,,,0,Adamant,,,,,,,,,,,,,Project B,upgrade socity,4-5,5,1 honey,u,12,9,60,30,38,30/60,
,,,Baubles,Lux,2,,,,,0,Baubles,,,,,,,,,,,,,Project C,,,,,,,,,0,,0/,#VALUE!
,,,Beer,Lux,1,,,,,0,Beer,,,,,,,,,,,,,Project D,,,,,,,,,0,,0/,#VALUE!
,,,Bloodstone,Strat,2,1,,-1,,0,Bloodstone,,,,,,,,,,,,,Project E,,,,,,,,,0,,0/,#VALUE!
,,,Brass,Lux/Strat,2,,,,,0,Brass,,,,,,,,,,,,,Project F,,,,,,,,,0,,0/,#VALUE!
,,,Bronze,Lux/Strat,2,,,,,0,Bronze,,,,,,,,,,,,,Project G,,,,,,,,,0,,0/,#VALUE!
,,,Cheese,Food,1,,,,,0,Cheese,,,,,,,,,,,,,Project H,,,,,,,,,0,,0/,#VALUE!
,,,Cinnabar,Lux,2,,,,,0,Cinnabar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coal,Lux,2,,,,,0,Coal,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cocoa,Lux,2,,,,,0,Cocoa,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coffee,Lux,2,,,,,0,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cold Iron,Strat,2,,,,,0,Cold Iron,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Copper,Lux/Strat,1,,,,,0,Copper,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coral,Lux,1,,,,,0,Coral,,,,,,,,,,,,,,,Total,6,,,,,,,,,
,,,Crops,Food,1,3,-2,-2,,-1,Crops,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cursed Stone,Strat,2,,,,,0,Cursed Stone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cursed Wood,Strat,2,,,,,0,Cursed Wood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Darkwood,Strat,2,,,,,0,Darkwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Deathstone,Lux,3,,,,,0,Deathstone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Diamonds,Lux,3,,,,,0,Diamonds,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dire Crops,Food,2,,0,,,0,Dire Crops,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dyes,Lux,2,1,,,,1,Dyes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Eternium,Lux/Strat,3,,,,,0,Eternium,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Faerzess,Lux/Strat,3,,,,,0,Faerzess,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fine Clothes,Lux,2,,,,,0,Fine Clothes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fruit,Food,1,,1,,,1,Fruit,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fur,Lux,1,,,,,0,Fur,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Game (Hunting),Food,1,,,,,0,Game (Hunting),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gems,Lux,2,,,,,0,Gems,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Glass,Lux,2,,,,,0,Glass,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gold,Lux,3,,,,,0,Gold,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Greenwood,Strat,1,,,,,0,Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gunpowder,Strat,3,,,,,0,Gunpowder,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hardwood,Strat,1,,1,,,1,Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Healing Potions,Strat,2,,1,-1,,0,Healing Potions,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Herbs,Lux,1,1,-1,,,0,Herbs,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Holystone,Lux,3,,,,,0,Holystone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Honey,Food,2,,1,-1,,0,Honey,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Iced Cream,Food/Lux,2,,,,,0,Iced Cream,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Incense,Lux,1,,,,,0,Incense,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Iron,Strat,1,,,,,0,Iron,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ironwood,Strat,2,,,,,0,Ironwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ivory,Lux,2,,,,,0,Ivory,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jewelry,Lux,3,,,,,0,Jewelry,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lead,Lux,1,,,,,0,Lead,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Linite,Lux,2,,,,,0,Linite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Livestock,Food,1,,,,,0,Livestock,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lumber,None,0,,,,,0,Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marble,Lux,1,,,,,0,Marble,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Medicine,Lux,2,,,,,0,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mithral,Lux/Strat,3,,,,,0,Mithral,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Narcotics,Lux,2,,,,,0,Narcotics,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Olives,Food,1,,,,,0,Olives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Onyx,Strat,2,,,,,0,Onyx,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Oricalculum,Lux/Strat,3,,,,,0,Oricalculum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Paper,Lux,2,,,,,0,Paper,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Parchment,Lux,1,,,,,0,Parchment,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Pearl,Lux ,2,,,,,0,Pearl,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Peat,Lux,1,,,,,0,Peat,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Phlogiston
(Helium)",Strat,3,,,,,0,"Phlogiston
(Helium)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,Poison,Strat,2,,,,,0,Poison,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Porcelain,Lux,2,,,,,0,Porcelain,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Residuum,Lux,2,2,,,,2,Residuum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riding Animals (Advanced),Strat/Food,2,,,,,0,Riding Animals (Advanced),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riding Animals (Basic),Strat/Food,1,,,,,0,Riding Animals (Basic),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Salt,Lux,2,,,,,0,Salt,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Scrolls,Strat,2,1,,-1,,0,Scrolls,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Seafood,Food,1,2,,,,2,Seafood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Silk,Lux,2,,,,,0,Silk,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Silver,Lux,2,,,,,0,Silver,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Slaves,Lux/Strat,1,,,,,0,Slaves,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spices,Lux,2,,,,,0,Spices,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spirits,Lux,2,,,,,0,Spirits,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Starwood,Strat,3,,,,,0,Starwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Steel,Strat,2,,,,,0,Steel,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stone,None,0,,,,,0,Stone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sugar,Lux,2,,,,,0,Sugar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Textiles,Lux,1,,,,,0,Textiles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tin,Strat,1,,,,,0,Tin,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tobacco,Lux,1,,,,,0,Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Truffles,Lux,3,,,,,0,Truffles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Waterwood,Lux/Strat,2,,,,,0,Waterwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wax,Lux,1,,,,,0,Wax,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Whales,Lux/Food,3,,,,,0,Whales,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Whipwood,Strat,1,,,,,0,Whipwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wine,Lux,2,,,,,0,Wine,,,,,,,,,,,,,,,,,,,,,,,,,
,,,World Tree,Food/Lux/Strat,2,,,,,0,World Tree,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Darkwood Bows,Strat,2,,,,,0,Darkwood Bows,,,,,,,,,,,,,,,,,,,,,,,,,
