,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Therendrim,David Felt,,16 Aristocrat/ 2 Cavalier,Updated on turn:,28,Description: ,LN - Constitutional Monarchy,,,Current Turn,40,Winter,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stat,Rating,+/-,Notes,Advisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Politics,3,,4 Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,3,,Population: ,,,Society & Espionage Questions,,,,Orders to Vassals,,,,,,,,,,,,,,,,,,,,,,,,,,
Military,4,(+2),,AMPHIBIOUS WARFARE,,(See Player sheet),,,,Nation,Order,,,,,,,,,,,,,,,,,,,,,,,,,
Economics,2,(+1),,DEVELOPMENT,,,,,,,See Player sheet for orders,,,,,,,,,,,,,,,,,,,,,,,,,
Society ,3,(+3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espionage,3,(+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Religion,5,,,SYNCRETISM / GNOSTICISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navy,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Previous Total moved here to make room for calculated total below,,,,
Air Force,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Progress,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,
Base Income,2,,,,,"Artifacts of times gone by: Gather the following Artifacts of the old empire (crown, armor, sword, ring, and scepter of the Emperor).",,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,
Trade,6,,,,Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,
Maintenance,-6,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towns,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cities,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Committed Resources,,,,,,,,,,,,,,,,,,,,,,,,
Sentient Creatures,,,,,,,,,,,,,,,Projects,,,,,,,,,,,,,,,Unfinished Only,,,,,,
,,,,,,,,,,,,,,,prayers to the god,New town ,,,,,,,,,Name,Effect,Cost (g),Resource(s),(O)ngoing (U)nfinished (S)uspended,Initial Result,Progress Per Turn,Total Needed,Total Progress,Turn Started,Progress Meter (Calculated),Progress Bar (Calculated)
,,,Name,Type,Tier,Natively Produced,Trade,Committed,Not Used,Total,Name,Espionage,Maintenance,Military,Project A,Project B,Project C,Project D,Project E,Project F,Project G,Project H,,Project A,prayers to the god,combat taint,1,,O,,,,0,,0/,#VALUE!
,,,Adamant,Strat,3,,,,,0,Adamant,,,,,,,,,,,,,Project B,New town ,a town,2,"1 Fruit, 1 Herbs, 1 Stone, ",U,17,11,35,72,35,72/35,
,,,Baubles,Lux,2,,,,,0,Baubles,,,,,,,,,,,,,Project C,,,,,,,,,0,,0/,#VALUE!
,,,Beer,Lux,1,,,,,0,Beer,,,,,,,,,,,,,Project D,,,,,,,,,0,,0/,#VALUE!
,,,Bloodstone,Strat,2,,,,,0,Bloodstone,,,,,,,,,,,,,Project E,,,,,,,,,0,,0/,#VALUE!
,,,Brass,Lux/Strat,2,,,,,0,Brass,,,,,,,,,,,,,Project F,,,,,,,,,0,,0/,#VALUE!
,,,Bronze,Lux/Strat,2,,,,,0,Bronze,,,,,,,,,,,,,Project G,,,,,,,,,0,,0/,#VALUE!
,,,Cheese,Food,1,,,,,0,Cheese,,,,,,,,,,,,,Project H,,,,,,,,,0,,0/,#VALUE!
,,,Cinnabar,Lux,2,,,,,0,Cinnabar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coal,Lux,2,1,,,,1,Coal,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cocoa,Lux,2,,,,,0,Cocoa,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coffee,Lux,2,,,,,0,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cold Iron,Strat,2,1,,,,1,Cold Iron,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Copper,Lux/Strat,1,1,1,,,2,Copper,,,-1,,,,,,,,,,,,,,,,,,,,,,
,,,Coral,Lux,1,,,,,0,Coral,,,,,,,,,,,,,,,Total,3,,,,,,,,,
,,,Crops,Food,1,6,,-5,,1,Crops,,-3,-2,,,,,,,,,,,,,,,,,,,,,,
,,,Cursed Stone,Strat,2,,,,,0,Cursed Stone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cursed Wood,Strat,2,,,,,0,Cursed Wood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Darkwood,Strat,2,,,,,0,Darkwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Deathstone,Lux,3,1,,,,1,Deathstone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Diamonds,Lux,3,,,,,0,Diamonds,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dire Crops,Food,2,,,,,0,Dire Crops,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dyes,Lux,2,,,,,0,Dyes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Eternium,Lux/Strat,3,,,,,0,Eternium,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Faerzess,Lux/Strat,3,,,,,0,Faerzess,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fine Clothes,Lux,2,,,,,0,Fine Clothes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fruit,Food,1,4,-1,-1,,2,Fruit,,-1,,,,,,,,,,,,,,,,,,,,,,,
,,,Fur,Lux,1,,,,,0,Fur,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Game (Hunting),Food,1,,,,,0,Game (Hunting),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gems,Lux,2,,,,,0,Gems,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Glass,Lux,2,,,,,0,Glass,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gold,Lux,3,,1,,,1,Gold,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Greenwood,Strat,1,1,,,,1,Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gunpowder,Strat,3,,,,,0,Gunpowder,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hardwood,Strat,1,3,,-1,-1,1,Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Healing Potions,Strat,2,,,,,0,Healing Potions,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Herbs,Lux,1,1,1,,,2,Herbs,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Holystone,Lux,3,1,-1,,,0,Holystone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Honey,Food,2,,,,,0,Honey,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Iced Cream,Food/Lux,2,,,,,0,Iced Cream,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Incense,Lux,1,1,,,,1,Incense,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Iron,Strat,1,2,,-2,,0,Iron,,,-1,,,,,,,,,,,,,,,,,,,,,,
,,,Ironwood,Strat,2,,,,,0,Ironwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ivory,Lux,2,,,,,0,Ivory,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jewelry,Lux,3,,,,,0,Jewelry,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lead,Lux,1,,,,,0,Lead,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Linite,Lux,2,,,,,0,Linite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Livestock,Food,1,4,-1,-1,,2,Livestock,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lumber,None,0,1,,,,1,Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marble,Lux,1,1,,,,1,Marble,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Medicine,Lux,2,,,,,0,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mithral,Lux/Strat,3,,,,,0,Mithral,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Narcotics,Lux,2,,1,,,1,Narcotics,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Olives,Food,1,,,,,0,Olives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Onyx,Strat,2,1,-1,,,0,Onyx,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Oricalculum,Lux/Strat,3,,,,,0,Oricalculum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Paper,Lux,2,,,,,0,Paper,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Parchment,Lux,1,,,,,0,Parchment,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Pearl,Lux ,2,,,,,0,Pearl,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Peat,Lux,1,,,,,0,Peat,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Phlogiston
(Helium)",Strat,3,,,,,0,"Phlogiston
(Helium)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,Poison,Strat,2,,,,,0,Poison,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Porcelain,Lux,2,,,,,0,Porcelain,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Residuum,Lux,2,1,,,-1,0,Residuum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riding Animals (Advanced),Strat/Food,2,,,,,0,Riding Animals (Advanced),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riding Animals (Basic),Strat/Food,1,,,,,0,Riding Animals (Basic),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Salt,Lux,2,,,,,0,Salt,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Scrolls,Strat,2,,,,,0,Scrolls,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Seafood,Food,1,6,1,,-1,6,Seafood,,-2,,,,,,,,,,,,,,,,,,,,,,,
,,,Silk,Lux,2,,,,,0,Silk,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Silver,Lux,2,1,,,,1,Silver,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Slaves,Lux/Strat,1,,,,,0,Slaves,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spices,Lux,2,1,,,,1,Spices,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spirits,Lux,2,,,,,0,Spirits,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Starwood,Strat,3,,,,,0,Starwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Steel,Strat,2,,,,,0,Steel,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stone,None,0,1,,,,1,Stone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sugar,Lux,2,1,,,,1,Sugar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Textiles,Lux,1,3,-1,,,2,Textiles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tin,Strat,1,,,,,0,Tin,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tobacco,Lux,1,1,,,,1,Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Truffles,Lux,3,,,,,0,Truffles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Waterwood,Lux/Strat,2,,,,,0,Waterwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wax,Lux,1,,,,,0,Wax,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Whales,Lux/Food,3,,,,,0,Whales,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Whipwood,Strat,1,,1,,,1,Whipwood,,,,,,,,,,,,,,,,,,,,,,,,,
